2025-07-02 11:11:22.757 | WARNING  | autotest_frame.core._variables:load_init_data:98 - 未找到variables包
2025-07-02 11:12:34.887 | WARNING  | autotest_frame.core._variables:load_init_data:98 - 未找到variables包
2025-07-02 11:15:12.865 | WARNING  | autotest_frame.core._variables:load_init_data:98 - 未找到variables包
2025-07-02 11:18:35.923 | WARNING  | autotest_frame.core._variables:load_init_data:98 - 未找到variables包
2025-07-02 11:20:57.891 | WARNING  | autotest_frame.core._variables:load_init_data:98 - 未找到variables包
2025-07-02 11:22:44.314 | WARNING  | autotest_frame.core._variables:load_init_data:98 - 未找到variables包
2025-07-02 11:24:18.956 | WARNING  | autotest_frame.core._variables:load_init_data:98 - 未找到variables包
2025-07-02 11:25:01.081 | WARNING  | autotest_frame.core._variables:load_init_data:98 - 未找到variables包
2025-07-02 11:26:10.518 | WARNING  | autotest_frame.core._variables:load_init_data:98 - 未找到variables包
2025-07-02 11:26:45.822 | WARNING  | autotest_frame.core._variables:load_init_data:98 - 未找到variables包
2025-07-02 11:42:16.597 | WARNING  | autotest_frame.core._variables:load_init_data:98 - 未找到variables包
2025-07-02 12:07:06.735 | WARNING  | autotest_frame.core._variables:load_init_data:98 - 未找到variables包
2025-07-02 12:11:13.937 | WARNING  | autotest_frame.core._variables:load_init_data:98 - 未找到variables包
2025-07-02 12:11:42.618 | WARNING  | autotest_frame.core._variables:load_init_data:98 - 未找到variables包
